,name,sid,race,college,psat,gpa,honors,var0,var1,var2,var3,var4,var5,var6,var7,var8,var9
0,Michelangelo Su,1,other,Aardvark University,115.0,2.5236239654652497,0,,,,,,,,,,
1,Chris Mader,2,aa,Aardvark University,112.0,1.9239541894545245,7,,,,,,,,,,
2,Michelangelo Jacobs,3,other,Cranberry Lemon University,197.0,2.5475073805092343,2,,,,,,,,,,
3,Matt Auerbach,4,other,Cranberry Lemon University,240,3.552567980867621,3,,,,,,,,,,
4,John Gee,5,white,Institute of Banana Harvesting,231.0,3.305674623774495,1,,,,,,,,,,
5,Zahra Brown,6,aa,Aardvark University,182.0,2.927692185720425,5,,,,,,,,,,
6,Allen Brock,7,aa,Starfish University,176.0,2.9063687856288736,5,,,,,,,,,,
7,Allen Vohra,8,other,Whale University,114.0,2.6985231747089293,10,,,,,,,,,,
8,John Auerbach,9,aa,Institute of Banana Harvesting,123.0,1.2880149294779697,7,,,,,,,,,,
9,Sophia Vohra,10,other,Starfish University,165.0,3.3743814458920554,0,,,,,,,,,,
10,Nick Alice,11,other,Mount Yo-yo College,106.0,2.3057128043443864,5,,,,,,,,,,
11,Zahra Rowe,12,latino,Starfish University,159.0,3.333167550418992,4,,,,,,,,,,
12,Tom Vohra,13,latino,Cranberry Lemon University,240,3.9478303485778783,9,,,,,,,,,,
13,Tom Brown,14,white,Aardvark University,178.0,3.7885995817764813,5,,,,,,,,,,
14,Nick Alice,15,white,Cranberry Lemon University,231.0,3.943905123025587,0,,,,,,,,,,
15,Vidhur Gee,16,other,Cranberry Lemon University,198.0,3.4320442719527295,4,,,,,,,,,,
16,John Velez,17,other,Starfish University,205.0,3.732908372084003,9,,,,,,,,,,
17,Varoon Jacobs,18,aa,Starfish University,240,3.803589690740545,4,,,,,,,,,,
18,Jonathan Brown,19,aa,Cranberry Lemon University,202.0,3.0730552064505634,7,,,,,,,,,,
19,Jonathan Mader,20,other,Mount Yo-yo College,136.0,1.665797144560976,5,,,,,,,,,,
20,Vidhur Eneva,21,aa,Starfish University,141.0,2.956958911863387,4,,,,,,,,,,
21,Nihar Gee,22,latino,Institute of Banana Harvesting,60,1.368908566599998,5,,,,,,,,,,
22,Vidhur Adhikari,23,aa,Whale University,155.0,1.8068669611430728,6,,,,,,,,,,
23,Matt Brown,24,aa,Whale University,162.0,3.5016684221141348,10,,,,,,,,,,
24,Matt Meinshausen,25,white,Cappybara Community College,123.0,1.334276059114152,6,,,,,,,,,,
25,Nick Lin,26,white,Mount Yo-yo College,67.0,1.3841681339155896,4,,,,,,,,,,
26,Paul Vohra,27,white,Cranberry Lemon University,229.0,3.310532086634433,3,,,,,,,,,,
27,Varoon Auerbach,28,latino,Aardvark University,60,1.2461660880450132,4,,,,,,,,,,
28,Sam Su,29,aa,Cranberry Lemon University,240,3.804819014686711,0,,,,,,,,,,
29,Edward Gee,30,aa,Cappybara Community College,91.0,2.254886284548556,1,,,,,,,,,,
30,Paul Rowe,31,white,Starfish University,178.0,3.7117695273373656,4,,,,,,,,,,
31,Allen Meinshausen,32,other,Institute of Banana Harvesting,76.0,1.2445062312752369,1,,,,,,,,,,
32,Kayla Bashyakarla,33,other,Starfish University,128.0,2.32110843743912,2,,,,,,,,,,
33,Sam Plagge,34,latino,Institute of Banana Harvesting,63.0,1.1735384158107198,3,,,,,,,,,,
34,Nick Brock,35,aa,Cranberry Lemon University,238.0,3.5975151714924274,9,,,,,,,,,,
35,Jonathan Rowe,36,aa,Starfish University,218.0,3.3038788699047643,2,,,,,,,,,,
36,Kayla Ghani,37,aa,Cranberry Lemon University,240,3.9549796103180643,8,,,,,,,,,,
37,Sam D'Agnostino,38,white,Mount Yo-yo College,78.0,1.5979775933268123,3,,,,,,,,,,
38,John Alice,39,other,Starfish University,216.0,3.302079805954736,3,,,,,,,,,,
39,Nick Brock,40,aa,Mount Yo-yo College,60,1.598568436232808,2,,,,,,,,,,
40,Sam Alice,41,other,Cappybara Community College,95.0,1.9550992227258717,4,,,,,,,,,,
41,Paul Vohra,42,white,Starfish University,180.0,3.389862158904672,3,,,,,,,,,,
42,Paul Leiby,43,latino,Mount Yo-yo College,105.0,1.6960363244022192,9,,,,,,,,,,
43,Edward Auerbach,44,other,Mount Yo-yo College,77.0,1.783632276471916,4,,,,,,,,,,
44,Paul D'Agnostino,45,other,Cranberry Lemon University,240,3.4911766786708247,6,,,,,,,,,,
45,Allen Plagge,46,aa,Cranberry Lemon University,184.0,2.876547416710779,5,,,,,,,,,,
46,Michelangelo Leiby,47,aa,Whale University,150.0,2.9441153691478013,3,,,,,,,,,,
47,Juan-Pablo Gee,48,white,Aardvark University,145.0,2.2991361886396806,6,,,,,,,,,,
48,Jonathan Gee,49,other,Cranberry Lemon University,234.0,3.561852835621507,9,,,,,,,,,,
49,Tom Auerbach,50,aa,Cappybara Community College,161.0,2.1029169453639036,1,,,,,,,,,,
50,Varoon Alice,51,latino,Whale University,218.0,3.1163647818214546,9,,,,,,,,,,
51,Zahra Brown,52,latino,Whale University,216.0,3.1218942143021366,4,,,,,,,,,,
52,Kayla Alice,53,white,Starfish University,211.0,3.199466125473265,7,,,,,,,,,,
53,Kayla Shah,54,other,Mount Yo-yo College,90.0,1.9195628288520061,8,,,,,,,,,,
54,Vidhur Brock,55,white,Aardvark University,195.0,2.7143884580505677,10,,,,,,,,,,
55,Zahra Rowe,56,other,Mount Yo-yo College,101.0,1.1704039018272745,9,,,,,,,,,,
56,Michelangelo Ashktorab,57,aa,Starfish University,186.0,2.32964540744302,6,,,,,,,,,,
57,Tom Shah,58,white,Cranberry Lemon University,224.0,3.9804401957625672,8,,,,,,,,,,
58,Edward McFowland,59,latino,Starfish University,188.0,3.739003602325822,5,,,,,,,,,,
59,Michelangelo Ghani,60,other,Starfish University,192.0,3.3826817948019547,3,,,,,,,,,,
60,Elena Meinshausen,61,aa,Cranberry Lemon University,240,3.8374147298355985,8,,,,,,,,,,
61,Matt Eneva,62,aa,Institute of Banana Harvesting,61.0,1.2801040318106214,1,,,,,,,,,,
62,Jonathan Bashyakarla,63,aa,Aardvark University,116.0,1.9947719745271368,4,,,,,,,,,,
63,Nathan Su,64,aa,Starfish University,192.0,3.4875176096545477,5,,,,,,,,,,
64,Andrea Velez,65,other,Cranberry Lemon University,188.0,3.2805462627386857,10,,,,,,,,,,
65,Zahra Plagge,66,aa,Mount Yo-yo College,115.0,1.150518822984573,4,,,,,,,,,,
66,Sophia Auerbach,67,latino,Cranberry Lemon University,240,3.4922366182573183,2,,,,,,,,,,
67,Tom Vohra,68,latino,Cranberry Lemon University,240,3.9568072602972673,2,,,,,,,,,,
68,Sophia Shah,69,other,Cappybara Community College,108.0,1.4802427299215628,4,,,,,,,,,,
69,Paul Ashktorab,70,other,Starfish University,205.0,3.634383514282824,2,,,,,,,,,,
70,Nick Alice,71,latino,Institute of Banana Harvesting,86.0,1.5722270194927201,0,,,,,,,,,,
71,Sam Gee,72,latino,Aardvark University,120.0,2.5388829172828125,4,,,,,,,,,,
72,Nick Plagge,73,other,Institute of Banana Harvesting,87.0,1.3505141125336695,8,,,,,,,,,,
73,Vidhur Mader,74,white,Starfish University,167.0,3.318421554791674,8,,,,,,,,,,
74,Vidhur Rowe,75,white,Whale University,123.0,2.5542708004945323,6,,,,,,,,,,
75,Sophia Ghani,76,aa,Mount Yo-yo College,96.0,1.3728997779068686,1,,,,,,,,,,
76,Paul Alice,77,other,Mount Yo-yo College,107.0,2.197901685949576,6,,,,,,,,,,
77,Sophia Brock,78,aa,Aardvark University,143.0,2.2945299289817904,0,,,,,,,,,,
78,Juan-Pablo Lin,79,other,Cranberry Lemon University,238.0,3.9721890648847693,7,,,,,,,,,,
79,Sophia Adhikari,80,aa,Whale University,181.0,2.7908677422041093,9,,,,,,,,,,
80,Varoon Ashktorab,81,aa,Aardvark University,122.0,2.425504054582108,0,,,,,,,,,,
81,Michelangelo Su,82,aa,Mount Yo-yo College,60,1.047770834301502,7,,,,,,,,,,
82,John Leiby,83,white,Aardvark University,178.0,2.4578979072560965,1,,,,,,,,,,
83,Andrea Mader,84,aa,Aardvark University,148.0,2.746625883279831,0,,,,,,,,,,
84,Jonathan Brock,85,other,Cranberry Lemon University,240,3.5000568675301382,7,,,,,,,,,,
85,Andrea Ashktorab,86,white,Institute of Banana Harvesting,106.0,1.463573238925799,10,,,,,,,,,,
86,Tom Shah,87,latino,Mount Yo-yo College,91.0,1.2843122854688662,8,,,,,,,,,,
87,Zahra Mader,88,other,Mount Yo-yo College,81.0,1.357043507352289,0,,,,,,,,,,
88,Sophia Mader,89,aa,Cappybara Community College,85.0,2.042486019576375,10,,,,,,,,,,
89,Edward Jacobs,90,white,Cappybara Community College,90.0,1.3064734910126008,4,,,,,,,,,,
90,John Alice,91,aa,Aardvark University,146.0,2.039815493873486,9,,,,,,,,,,
91,Edward Bashyakarla,92,aa,Starfish University,202.0,2.568382257752896,3,,,,,,,,,,
92,Nathan Eneva,93,white,Starfish University,240,3.887951755460996,8,,,,,,,,,,
93,Edward Brock,94,other,Cranberry Lemon University,193.0,3.4714339715193616,2,,,,,,,,,,
94,Varoon Auerbach,95,latino,Aardvark University,143.0,2.732379724609617,9,,,,,,,,,,
95,Andrea Shah,96,aa,Institute of Banana Harvesting,60,1.5278865487700772,10,,,,,,,,,,
96,Tom Brown,97,white,Cappybara Community College,96.0,1.123371779537452,5,,,,,,,,,,
97,Jonathan Brock,98,aa,Cranberry Lemon University,214.0,3.506760084240955,8,,,,,,,,,,
98,Michelangelo Brock,99,latino,Aardvark University,195.0,2.5047116205108897,6,,,,,,,,,,
99,Edward Vohra,100,white,Whale University,170.0,2.1888260263205215,6,,,,,,,,,,
100,Allen Alice,101,other,Starfish University,215.0,3.4461156753639965,8,,,,,,,,,,
101,Sam Meinshausen,102,aa,Starfish University,185.0,3.554943065604001,7,,,,,,,,,,
102,Nick Jacobs,103,aa,Cappybara Community College,116.0,2.497581638860041,6,,,,,,,,,,
103,Matt Rowe,104,other,Cappybara Community College,60,1.6018559736462177,4,,,,,,,,,,
104,Nihar Brown,105,white,Institute of Banana Harvesting,115.0,1.1562568382536074,0,,,,,,,,,,
105,Nathan Plagge,106,white,Aardvark University,100.0,1.6835950864794542,4,,,,,,,,,,
106,Chris Auerbach,107,latino,Whale University,170.0,2.262813428294165,0,,,,,,,,,,
107,Andrea Adhikari,108,white,Starfish University,179.0,3.404971362059263,6,,,,,,,,,,
